case_id,relation,category,input_value,reference_value
sroie-065,company,exact,RESTAURANT JIAWEI JIAWEI HOUSE,RESTAURANT JIAWEI JIAWEI HOUSE
sroie-065,date,exact,9/3/2018,9/3/2018
sroie-065,address,exact,"13, JLN TASIK UTAMA 8 MEDAN NIAGA DAMAI SG BESI 57000 KL","13, JLN TASIK UTAMA 8 MEDAN NIAGA DAMAI SG BESI 57000 KL"
sroie-065,total,exact,65.20,65.20
sroie-066,company,exact,PASARAYA BORONG PINTAR SDN BHD,PASARAYA BORONG PINTAR SDN BHD
sroie-066,date,exact,14/03/2018,14/03/2018
sroie-066,address,exact,"NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI","NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI"
sroie-066,total,exact,8.20,8.20
sroie-071,company,exact,AEON CO. (M) BHD,AEON CO. (M) BHD
sroie-071,date,exact,19/02/2018,19/02/2018
sroie-071,address,exact,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR","3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR"
sroie-071,total,exact,17.70,17.70
sroie-077,company,exact,BANH MI CAFE SDN BHD,BANH MI CAFE SDN BHD
sroie-077,date,exact,29-10-2017,29-10-2017
sroie-077,address,punctuation_only,"NO. 1 JALAN PUTERI 7/10 BANDAR PUTERI, 47100 PUCHONG SELANGOR, MALAYSIA","NO,1 JALAN PUTERI 7/10 BANDAR PUTERI, 47100 PUCHONG SELANGOR, MALAYSIA"
sroie-077,total,exact,23.25,23.25
sroie-100,company,exact,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE
sroie-100,date,exact,02/12/2017,02/12/2017
sroie-100,address,punctuation_only,"NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR","NO 290, JALAN AIR PANAS. SETAPAK. 53200, KUALA LUMPUR."
sroie-100,total,exact,7.42,7.42
sroie-103,company,exact,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE
sroie-103,date,exact,28/12/2017,28/12/2017
sroie-103,address,punctuation_only,"NO 290. JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR","NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR"
sroie-103,total,exact,148.40,148.40
sroie-104,company,different_source_value,CHILI ' S CHILI'S GRILL & BAR,T.A.S LEISURE SDN BHD
sroie-104,date,exact,30 DEC 17,30 DEC 17
sroie-104,total,exact,102.40,102.40
sroie-110,company,exact,LIM SENG THO HARDWARE TRADING,LIM SENG THO HARDWARE TRADING
sroie-110,date,exact,29/12/2017,29/12/2017
sroie-110,address,punctuation_only,NO 7. SIMPANG OFF BATU VILLAGE. JALAN IPOH BATU 5. 51200 KUALA LUMPUR MALAYSIA,"NO 7, SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA"
sroie-110,total,exact,6.00,6.00
sroie-117,company,exact,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE
sroie-117,date,exact,03/01/2018,03/01/2018
sroie-117,address,punctuation_only,"NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
sroie-117,total,exact,94.87,94.87
sroie-121,company,exact,SYARIKAT PERNIAGAAN GIN KEE,SYARIKAT PERNIAGAAN GIN KEE
sroie-121,date,exact,11/01/2018,11/01/2018
sroie-121,address,punctuation_only,"NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR","NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
sroie-121,total,exact,21.20,21.20
sroie-139,company,exact,RESTORAN WAN SHENG,RESTORAN WAN SHENG
sroie-139,date,exact,21-03-2018,21-03-2018
sroie-139,address,exact,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR"
sroie-139,total,exact,6.70,6.70
sroie-147,company,span_boundary,SUSHI MENTAI - NAHKOTA CHERAS MIZU MENTAI SDN. BHD.,MIZU MENTAI SDN. BHD.
sroie-147,date,exact,31-03-2018,31-03-2018
sroie-147,address,exact,"NO: 1-1&2 GROUND FLOOR, JLN TEMENGGUNG 13/9, 43200 CHERAS SELANGOR","NO: 1-1&2 GROUND FLOOR, JLN TEMENGGUNG 13/9, 43200 CHERAS SELANGOR"
sroie-147,total,exact,65.55,65.55
sroie-155,company,reference_not_literal_after_whitespace_fix,GERPANG ALAF RESTAURANTS SDN BHD,GERBANG ALAF RESTAURANTS SDN BHD
sroie-155,date,exact,02/03/2018,02/03/2018
sroie-155,address,exact,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39, 47400 PETALING JAYA SELANGOR","LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39, 47400 PETALING JAYA SELANGOR"
sroie-155,total,exact,28.50,28.50
sroie-157,company,span_boundary,BASKIN BR ROBBINS DESA PARK CITY GOLDEN SCOOP SDN BHD,GOLDEN SCOOP SDN BHD
sroie-157,date,exact,16/02/2018,16/02/2018
sroie-157,address,punctuation_only,"A--16-1, TOWER A, NORTHPOINT OFFICE, MID VALLEY CITY, NO1, MEDAN SYED PUTRA UTARA KUALA LUMPUR MALAYSIA","A-16-1, TOWER A, NORTHPOINT OFFICE, MID VALLEY CITY, NO1, MEDAN SYED PUTRA UTARA KUALA LUMPUR MALAYSIA"
sroie-157,total,exact,21.50,21.50
sroie-159,company,exact,FUN N CHEER (MALURI),FUN N CHEER (MALURI)
sroie-159,date,exact,05/01/2018,05/01/2018
sroie-159,address,case_or_whitespace,"LOT 37636 , JALAN 6/37A , TAMAN BUKIT MALURI , 52100 KUALA LUMPUR","LOT 37636 , JALAN 6/37A, TAMAN BUKIT MALURI , 52100 KUALA LUMPUR"
sroie-159,total,exact,29.80,29.80
sroie-175,company,exact,POPULAR BOOK CO. (M) SDN BHD,POPULAR BOOK CO. (M) SDN BHD
sroie-175,date,exact,11/02/18,11/02/18
sroie-175,address,exact,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA AMPANG POINT CENTRE","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA AMPANG POINT CENTRE"
sroie-175,total,exact,11.80,11.80
sroie-183,company,exact,SLF CASH & CARRY,SLF CASH & CARRY
sroie-183,date,exact,03/02/2018,03/02/2018
sroie-183,address,reference_not_literal_after_whitespace_fix,NO. 15.JLN TSJ2.TMN SUBANG JASA. OFF JLN BT 3 SUBANG. 40000 SHAH ALAM,"NO. 15. JLN TSJ2,TMN SUBANG JASA, OFF JLN BT 3 SUBANG. 40000 SHAH ALAM. SEL."
sroie-183,total,exact,21.20,21.20
sroie-186,company,exact,99 SPEED MART S/B,99 SPEED MART S/B
sroie-186,date,exact,07-02-18,07-02-18
sroie-186,address,exact,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR","LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR"
sroie-186,total,amount_surface_format,RM 45.35,45.35
sroie-198,company,exact,MR. D.I.Y. (KUCHAI) SDN BHD,MR. D.I.Y. (KUCHAI) SDN BHD
sroie-198,date,exact,12-03-18,12-03-18
sroie-198,address,case_or_whitespace,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG , 43300 SERI KEMBANGAN, SELANGOR","LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
sroie-198,total,exact,45.00,45.00
sroie-209,company,different_source_value,HARVEY NORMAN,ELITETRAX MARKETING SDN BHD
sroie-209,date,exact,11.02.18,11.02.18
sroie-209,address,span_boundary,"PARADIGM MALL, NO. 1 JALAN SS 7/26A, KELANA JAYA, 47301 PETALING JAYA","LOT 1F-01&02,1ST FLR,PARADIGM MALL, NO. 1 JALAN SS 7/26A, KELANA JAYA, 47301 PETALING JAYA"
sroie-209,total,exact,60.00,60.00
sroie-210,company,exact,KAISON FURNISHING SDN BHD,KAISON FURNISHING SDN BHD
sroie-210,date,exact,29-01-18,29-01-18
sroie-210,address,punctuation_only,"L4-17 (B), LEVEL 4, UP2-01, MELAWATI MALL, 355, JALAN BANDAR MELAWATI, PUSAT BANDAR MELAWATI, 53100 KUALA LUMPUR","L4-17 (B), LEVEL 4, UP2-01, MELAWATI MALL, 355, JALAN BANDAR MELAWATI, PUSAT BANDAR MELAWATI, 53100 KUALA LUMPUR."
sroie-210,total,amount_surface_format,"7,838.80",7838.80
sroie-221,company,exact,POPULAR BOOK CO. (M) SDN BHD,POPULAR BOOK CO. (M) SDN BHD
sroie-221,date,exact,24/01/18,24/01/18
sroie-221,address,exact,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA","NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA"
sroie-221,total,different_source_value,28.39,30.10
sroie-249,company,exact,GL HANDICRAFT & TAII ORING,GL HANDICRAFT & TAII ORING
sroie-249,date,exact,27/03/2018,27/03/2018
sroie-249,address,exact,"19, JALAN KANCIL, OFF JALAN PUDU, 55100 KUALA LUMPUR MALAYSIA","19, JALAN KANCIL, OFF JALAN PUDU, 55100 KUALA LUMPUR MALAYSIA"
sroie-249,total,exact,130.00,130.00
sroie-262,company,exact,99 SPEED MART S/B,99 SPEED MART S/B
sroie-262,date,exact,21-05-17,21-05-17
sroie-262,address,different_source_value,"POSTED LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR","LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1032-SUBANG PERDANA"
sroie-262,total,exact,20.80,20.80
sroie-270,company,exact,ELKEN SERVICE SDN BHD,ELKEN SERVICE SDN BHD
sroie-270,date,exact,10 OCT 2017,10 OCT 2017
sroie-270,address,exact,NO 2-1 JALAN 3/137B BATU 5 JALAN KELANG LAMA 58000 KUALA LUMPUR,NO 2-1 JALAN 3/137B BATU 5 JALAN KELANG LAMA 58000 KUALA LUMPUR
sroie-270,total,exact,250.00,250.00
sroie-286,company,exact,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD
sroie-286,date,exact,10 APR 2018,10 APR 2018
sroie-286,address,exact,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
sroie-286,total,exact,$7.60,$7.60
sroie-296,company,exact,DOMINO'S PIZZA,DOMINO'S PIZZA
sroie-296,date,exact,17/04/18,17/04/18
sroie-296,address,exact,"NO.12, JALAN PERMAS JAYA 10, BANDAR BARU PERMAS JAYA, 81750 MASAI JOHOR","NO.12, JALAN PERMAS JAYA 10, BANDAR BARU PERMAS JAYA, 81750 MASAI JOHOR"
sroie-296,total,different_source_value,3.90,25.60
sroie-318,company,exact,GHEE HIANG GH DISTRIBUTOR & MARKETING SDN BHD,GHEE HIANG GH DISTRIBUTOR & MARKETING SDN BHD
sroie-318,date,exact,13/04/2018,13/04/2018
sroie-318,address,punctuation_only,"95, BEACH ROAD, 10300 PENANG. 10400 PENANG","95, BEACH ROAD, 10300 PENANG. 10400 PENANG."
sroie-318,total,exact,25.00,25.00
sroie-319,company,exact,MENTAI INITIAL SDN BHD,MENTAI INITIAL SDN BHD
sroie-319,date,exact,21-04-2018,21-04-2018
sroie-319,address,different_source_value,"PLAZA DANAU NO.37-1, PLAZA DANAU DESA 2, JALAN 109F, TAMAN DANAU DESA, 58100 KUALA LUMPUR","NO.37-1, PLAZA DANAU DESA 2, JALAN 109F, TAMAN DANAU DESA, 58100 KUALA LUMPUR."
sroie-319,total,exact,41.50,41.50
sroie-320,company,exact,THE ROTI MAN BAKERY,THE ROTI MAN BAKERY
sroie-320,date,exact,04-05-2018,04-05-2018
sroie-320,address,exact,"117, JALAN RADIN BAGUS, SRI PETALING","117, JALAN RADIN BAGUS, SRI PETALING"
sroie-320,total,exact,RM20.40,RM20.40
sroie-359,company,exact,GARDENIA BAKERIES (KL) SDN BHD,GARDENIA BAKERIES (KL) SDN BHD
sroie-359,date,exact,20/10/2017,20/10/2017
sroie-359,address,punctuation_only,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR","LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
sroie-359,total,exact,14.79,14.79
sroie-369,company,exact,GARDENIA BAKERIES (KL) SDN BHD,GARDENIA BAKERIES (KL) SDN BHD
sroie-369,date,exact,14/10/2017,14/10/2017
sroie-369,address,punctuation_only,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR","LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
sroie-369,total,exact,33.80,33.80
sroie-376,company,exact,GARDENIA BAKERIES (KL) SDN BHD,GARDENIA BAKERIES (KL) SDN BHD
sroie-376,date,exact,26/10/2017,26/10/2017
sroie-376,address,punctuation_only,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR","LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
sroie-376,total,exact,54.19,54.19
sroie-396,company,span_boundary,A PIE THING FOUR QUARTERS SDN BHD,FOUR QUARTERS SDN BHD
sroie-396,date,exact,06/07/16,06/07/16
sroie-396,address,exact,NO.128G JLN SS21/35 DAMANSARA UTAMA PETALING JAYA 47400 SELANGOR,NO.128G JLN SS21/35 DAMANSARA UTAMA PETALING JAYA 47400 SELANGOR
sroie-396,total,exact,43.90,43.90
sroie-400,company,exact,SIN THYE & COMPANY,SIN THYE & COMPANY
sroie-400,date,exact,28/02/2016,28/02/2016
sroie-400,address,exact,"NO.54, BATU 5,JALAN IPOH, KG.BATU, 51200 KUALA LUMPUR","NO.54, BATU 5,JALAN IPOH, KG.BATU, 51200 KUALA LUMPUR"
sroie-400,total,exact,110.00,110.00
sroie-421,company,exact,GUARDIAN HEALTH AND BEAUTY SDN BHD,GUARDIAN HEALTH AND BEAUTY SDN BHD
sroie-421,date,exact,24/05/18,24/05/18
sroie-421,address,span_boundary,BANDAR BARU RAWANG NO 15 JALAN BANDAR RAWANG 10 BANDAR BARU RAWANG,NO 15 JALAN BANDAR RAWANG 10 BANDAR BARU RAWANG
sroie-421,total,exact,4.50,4.50
sroie-424,company,exact,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD
sroie-424,date,exact,15 MAY 2018,15 MAY 2018
sroie-424,address,exact,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
sroie-424,total,exact,$8.20,$8.20
sroie-469,company,different_source_value,SANYU SUPPLY SDN BHD,SANYU STATIONERY SHOP
sroie-469,date,exact,22/05/2017,22/05/2017
sroie-469,address,exact,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM","NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
sroie-469,total,exact,35.00,35.00
sroie-485,company,different_source_value,SANYU SUPPLY SDN BHD,SANYU STATIONERY SHOP
sroie-485,date,exact,20/09/2017,20/09/2017
sroie-485,address,exact,"NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM","NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
sroie-485,total,exact,12.00,12.00
sroie-509,company,exact,AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD,AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD
sroie-509,date,exact,12/09/2017,12/09/2017
sroie-509,address,punctuation_only,"NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM","NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,"
sroie-509,total,exact,30.00,30.00
sroie-518,company,exact,RAPID RAIL SDN BHD,RAPID RAIL SDN BHD
sroie-518,date,exact,18/06/2018,18/06/2018
sroie-518,address,exact,"NO.1 JALAN PJU 1A/46, OFF JALAN LAPANGAN TERBANG SUBANG PETALING JAYA SELANGOR 47301","NO.1 JALAN PJU 1A/46, OFF JALAN LAPANGAN TERBANG SUBANG PETALING JAYA SELANGOR 47301"
sroie-518,total,exact,RM 30.00,RM 30.00
sroie-523,company,exact,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD
sroie-523,date,exact,10 JUN 2018,10 JUN 2018
sroie-523,address,exact,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
sroie-523,total,exact,RM8.50,RM8.50
sroie-527,company,exact,UNIHAKKA INTERNATIONAL SDN BHD,UNIHAKKA INTERNATIONAL SDN BHD
sroie-527,date,exact,11 JUN 2018,11 JUN 2018
sroie-527,address,exact,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR","12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR"
sroie-527,total,exact,RM6.00,RM6.00
sroie-531,company,exact,THE TOAST F&B SDN BHD,THE TOAST F&B SDN BHD
sroie-531,date,exact,16/06/2018,16/06/2018
sroie-531,address,punctuation_only,"LOT 2110&2111 JALAN PERMAS UTARA BANDAR BARU PERMAS 81750,JOHOR BAHRU JOHOR",LOT 2110&2111 JALAN PERMAS UTARA BANDAR BARU PERMAS 81750 JOHOR BAHRU JOHOR
sroie-531,total,exact,28.15,28.15
sroie-534,company,exact,GRANDMA HOMES RESTAURANT,GRANDMA HOMES RESTAURANT
sroie-534,date,exact,13/06/2018,13/06/2018
sroie-534,address,exact,"NO.3 & 5, JALAN PERMAS 11, BANDAR BARU PERMAS JAYA, 81750 MASAI, JOHOR","NO.3 & 5, JALAN PERMAS 11, BANDAR BARU PERMAS JAYA, 81750 MASAI, JOHOR"
sroie-534,total,exact,473.30,473.30
sroie-546,company,exact,RESTORAN WAN SHENG,RESTORAN WAN SHENG
sroie-546,date,exact,09-04-2018,09-04-2018
sroie-546,address,exact,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR"
sroie-546,total,exact,8.60,8.60
sroie-553,company,exact,SANG KEE CHERAS RESTAURANT,SANG KEE CHERAS RESTAURANT
sroie-553,date,exact,03/05/2018,03/05/2018
sroie-553,address,exact,"69, JALAN TEMENGGUNG 3/9 BANDAR MAHKOTA CHERAS 43200 CHERAS SELANGOR","69, JALAN TEMENGGUNG 3/9 BANDAR MAHKOTA CHERAS 43200 CHERAS SELANGOR"
sroie-553,total,exact,2.50,2.50
sroie-560,company,exact,RESTORAN WAN SHENG,RESTORAN WAN SHENG
sroie-560,date,exact,09-06-2018,09-06-2018
sroie-560,address,exact,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR"
sroie-560,total,exact,4.80,4.80
sroie-565,company,exact,RESTORAN WAN SHENG,RESTORAN WAN SHENG
sroie-565,date,exact,01-06-2018,01-06-2018
sroie-565,address,exact,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR","NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR"
sroie-565,total,exact,4.80,4.80
sroie-590,company,span_boundary,JIMART@SP3 OGN GROUP SDN BHD,OGN GROUP SDN BHD
sroie-590,date,exact,17/06/2018,17/06/2018
sroie-590,address,case_or_whitespace,"NO.29M,JALAN DINAR G U3/G,SEKSYEN U3, SUBANG PERDANA, 40150 SHAH ALAM","NO.29M, JALAN DINAR G U3/G, SEKSYEN U3, SUBANG PERDANA, 40150 SHAH ALAM"
sroie-590,total,exact,28.30,28.30
sroie-612,company,exact,KT WONG TRADING,KT WONG TRADING
sroie-612,date,exact,09/06/2018,09/06/2018
sroie-612,address,punctuation_only,"22, JALAN PERINDUSTRIAN HIJAU 5, TAMAN PERINDUSTRIAN HIJAU","22, JALAN PERINDUSTRIAN HIJAU 5, TAMAN PERINDUSTRIAN HIJAU,"
sroie-612,total,exact,489.30,489.30
sroie-615,company,exact,MR. D.I.Y. (M) SDN BHD,MR. D.I.Y. (M) SDN BHD
sroie-615,date,exact,15-07-18,15-07-18
sroie-615,address,exact,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR","LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
sroie-615,total,amount_surface_format,RM 7.15,7.15
sroie-619,company,exact,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,ONE ONE THREE SEAFOOD RESTAURANT SDN BHD
sroie-619,date,exact,30-05-2018,30-05-2018
sroie-619,address,punctuation_only,"NO.1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR","NO.1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR."
sroie-619,total,exact,87.45,87.45
