[government Exp2] sampling 30 / 1389 triples
  [OK] qwen=1.00 gemma=1.0 | 工会组织 --[依法维护]-> 职工的年休假权利
  [OK] qwen=1.00 gemma=1.0 | 银保监会 --[依据]-> 《银行业金融机构反洗钱和反恐怖主义融资管理办法》
  [OK] qwen=0.80 gemma=1.0 | 资金池业务违规 --[类型]-> 违规行为
  [OK] qwen=1.00 gemma=0.4 | 证监会某监管局 --[行使主体]-> 金融监管处罚
  [OK] qwen=1.00 gemma=0.8 | 证监会某监管局 --[承办机构]-> 行政处罚
  [OK] qwen=0.40 gemma=0.4 | 权力类型 --[是]-> 行政处罚
  [OK] qwen=1.00 gemma=1.0 | 金融监管处罚 --[是]-> 行政处罚
  [OK] qwen=0.80 gemma=1.0 | 实施依据 --[是]-> 《中华人民共和国商业银行法》
  [OK] qwen=1.00 gemma=1.0 | 金融监管处罚 --[涉及问题]-> 准备金提取不足
  [OK] qwen=0.80 gemma=0.4 | 外汇管理局 --[承办机构]-> 行政处罚
  [OK] qwen=0.80 gemma=0.2 | 《银行业金融机构反洗钱和反恐怖主义融资管理办法》 --[实施依据]-> 行政处罚
  [OK] qwen=0.80 gemma=1.0 | 金融监管处罚 --[依据]-> 《信托公司管理办法》
  [OK] qwen=1.00 gemma=1.0 | 外汇管理局 --[类型]-> 行政机关
  [OK] qwen=0.20 gemma=0.2 | 服务事项 --[是]-> 金融监管处罚
[environment Exp2] sampling 30 / 234 triples
  [OK] qwen=0.40 gemma=1.0 | 实施依据 --[是]-> 《排污许可管理条例》
  [OK] qwen=0.00 gemma=0.0 | 行驶主体 --[是]-> 环境监测站
  [OK] qwen=0.20 gemma=0.2 | 服务事项 --[包括]-> "未验先投违法生产"
  [OK] qwen=0.20 gemma=0.2 | 环境执法处罚 --[服务事项]-> 超标排放废水
  [OK] qwen=0.20 gemma=0.0 | 行驶主体 --[是]-> "自然资源局"
  [OK] qwen=0.40 gemma=1.0 | 实施依据 --[来自]-> 《危险废物经营许可证管理办法》
  [OK] qwen=0.40 gemma=0.4 | 水利局 --[承办机构]-> 环境执法处罚
  [OK] qwen=0.00 gemma=0.0 | 行驶主体 --[是]-> "市生态环境局"
  [OK] qwen=0.20 gemma=0.2 | 水利局 --[承办机构]-> 环境执法处罚
  [OK] qwen=0.60 gemma=0.2 | 承办机构 --[是]-> VOCs治理设施未正常运行的,主体
  [OK] qwen=0.40 gemma=0.8 | 服务事项 --[包括]-> "环境执法处罚：恶臭污染扰民"
  [OK] qwen=0.40 gemma=1.0 | 环境执法处罚 --[实施依据]-> 《建设项目环境保护管理条例》
  [OK] qwen=0.20 gemma=0.0 | 应急管理局 --[行驶主体]-> 环境执法处罚
  [OK] qwen=0.40 gemma=0.4 | 应急管理局 --[承办机构]-> 环境执法处罚
  [OK] qwen=1.00 gemma=1.0 | 环境执法处罚 --[涉及问题]-> "环境应急预案未备案"
  [OK] qwen=1.00 gemma=0.4 | 生态环境部 --[承办机构]-> 环境执法处罚
  [OK] qwen=0.20 gemma=0.0 | 镇环保所 --[是]-> 行驶主体
  [OK] qwen=0.80 gemma=1.0 | 实施依据 --[是]-> 《中华人民共和国环境影响评价法》
  [OK] qwen=0.20 gemma=0.0 | 行驶主体 --[是]-> 自然资源局
  [OK] qwen=0.40 gemma=1.0 | 相关文件 --[是]-> 《已废止的某某规定》
  [OK] qwen=0.80 gemma=1.0 | 实施依据 --[是]-> 《中华人民共和国固体废物污染环境防治法》
  [OK] qwen=0.00 gemma=0.0 | 行驶主体 --[是]-> "环境监察支队"
  [OK] qwen=1.00 gemma=1.0 | 实施依据 --[是]-> 《中华人民共和国环境保护法》
  [OK] qwen=1.00 gemma=0.8 | 环境执法处罚 --[涉及]-> 固体废物乱堆乱放
  [OK] qwen=1.00 gemma=0.4 | 环境执法处罚 --[涉及]-> 恶臭污染扰民
  [OK] qwen=0.40 gemma=0.2 | 环境执法处罚 --[服务事项]-> 辐射安全管理不规范
  [OK] qwen=0.40 gemma=0.4 | 权力类型 --[是]-> 行政处罚
  [OK] qwen=1.00 gemma=1.0 | 环境执法处罚 --[实施依据]-> 《中华人民共和国水污染防治法》
  [OK] qwen=1.00 gemma=0.4 | 行政处罚 --[权力类型]-> 环境执法处罚
  [OK] qwen=0.40 gemma=0.2 | 环境执法处罚 --[服务事项]-> 固体废物乱堆乱放
[environment Exp3] sampling 30 / 376 triples
  [OK] qwen=1.00 gemma=0.6 | 某镇环保站 --[类型]-> 镇级环保机构
  [OK] qwen=0.80 gemma=0.4 | 承办机构 --[类型]-> 组织机构
  [OK] qwen=0.00 gemma=0.0 | 行驶主体 --[是]-> "生态环境综合执法支队"
  [OK] qwen=0.40 gemma=0.2 | 实施依据 --[是]-> VOCs治理设施未正常运行的法律基础
  [OK] qwen=1.00 gemma=1.0 | 实施依据 --[依据]-> 中华人民共和国水污染防治法
  [OK] qwen=0.20 gemma=0.4 | 水利局 --[承办机构]-> 环境执法处罚
  [OK] qwen=1.00 gemma=1.0 | 环境执法处罚 --[实施依据]-> 《排污许可管理条例》
  [OK] qwen=0.40 gemma=0.4 | 林业局 --[行驶主体]-> 环境执法处罚
  [OK] qwen=0.80 gemma=0.0 | 承办机构 --[是]-> 省生态环境厅
  [OK] qwen=0.20 gemma=0.0 | 环境应急中心 --[是]-> 实施依据来源
  [OK] qwen=0.40 gemma=0.4 | 权力类型 --[是]-> 行政处罚
  [OK] qwen=0.60 gemma=0.2 | 县生态环境局 --[执行]-> 承办机构
  [OK] qwen=0.40 gemma=0.2 | 环境执法处罚 --[由]-> 水利局
  [OK] qwen=0.20 gemma=0.0 | 自然资源局 --[行驶主体]-> 固体废物乱堆乱放
  [OK] qwen=1.00 gemma=1.0 | 环境执法处罚 --[实施依据]-> 《中华人民共和国环境保护法》
  [OK] qwen=0.40 gemma=0.4 | 行政处罚 --[权力类型]-> 环境执法处罚
  [OK] qwen=1.00 gemma=1.0 | 市生态环境局 --[实施依据]-> 《畜禽规模养殖污染防治条例》
  [OK] qwen=0.80 gemma=0.2 | 承办机构 --[是]-> 镇环保所
  [OK] qwen=1.00 gemma=1.0 | 生态环境综合执法支队 --[类型]-> 机构
  [OK] qwen=1.00 gemma=0.4 | 环境执法处罚 --[类型]-> 行政处罚
  [OK] qwen=1.00 gemma=1.0 | 建设项目未批先建 --[是]-> 环境执法处罚的对象
  [OK] qwen=0.40 gemma=0.4 | 服务事项 --[包括]-> 环境执法处罚：土壤污染未修复
  [OK] qwen=1.00 gemma=0.4 | 环境执法处罚 --[类型]-> 行政处罚
  [OK] qwen=1.00 gemma=0.4 | 环境执法处罚 --[针对]-> 偷排偷放污染物
  [OK] qwen=0.40 gemma=0.4 | 权力类型 --[是]-> 行政处罚
  [OK] qwen=0.40 gemma=0.4 | 水利局 --[执行]-> 环境执法处罚
  [OK] qwen=1.00 gemma=1.0 | 畜禽粪污直排入河 --[涉及事项]-> 环境执法处罚
  [OK] qwen=0.40 gemma=0.2 | 环境执法处罚 --[服务事项]-> 畜禽粪污直排入河
  [OK] qwen=1.00 gemma=1.0 | 《中华人民共和国土壤污染防治法》 --[作为]-> 环境执法处罚的依据
  [OK] qwen=1.00 gemma=0.4 | 环境执法处罚 --[类型]-> 行政处罚

Saved 180 rows -> /home/taozifu2025/MCP_based_KG_construction/exps/semantic_reliability/rescored_triples.csv
Run analyze_reliability.py to compute correlations.
