| id | domain | triple | annotator1_score | annotator2_score | annotator3_score |
| 126 | 政务 | 西安市人力资源和社会保障局 --[管理]-> 劳动保障监察执法处 | | | **1.0** |
| 127 | 环境 | 环境执法处罚 --[实施依据]-> 《建设项目环境保护管理条例》 | | | **0.2** |
| 128 | 政务 | 医政医管处 --[承办机构]-> 行政处罚 | | | **0.8** |
| 129 | 环境 | "服务事项 --[包括]-> ""环境执法处罚：恶臭污染扰民""" | | | **0.4** |
| 130 | 环境 | 某镇环保站 --[类型]-> 镇级环保机构 | | | **1.0** |
| 131 | 环境 | 环境应急中心 --[是]-> 实施依据来源 | | | **0.4** |
| 132 | 环境 | 环境执法处罚 --[服务事项]-> 超标排放废水 | | | **0.4** |
| 133 | 环境 | 环境执法处罚 --[服务事项]-> 畜禽粪污直排入河 | | | **0.4** |
| 134 | 金融 | 服务事项 --[是]-> 金融监管处罚 | | | **0.6** |
| 135 | 环境 | "行驶主体 --[是]-> ""环境监察支队""" | | | **0.8** |
| 136 | 环境 | 环境执法处罚 --[实施依据]-> 《中华人民共和国环境保护法》 | | | **0.2** |
| 137 | 金融 | 金融监管处罚 --[涉及事项]-> 同业业务违规 | | | **1.0** |
| 138 | 政务 | 服务事项 --[包括]-> 对医疗机构及有医疗卫生人员执业证书的人员未取得药品批准证明文件生产、进口药品 | | | **0.4** |
| 139 | 政务 | 西安市交通运输综合执法支队 --[承办机构]-> 行政处罚 | | | **1.0** |
| 140 | 环境 | 环境执法处罚 --[类型]-> 行政处罚 | | | **0.6** |
| 141 | 金融 | 金融监管处罚 --[实施依据]-> 《中华人民共和国保险法》 | | | **0.2** |
| 142 | 环境 | 权力类型 --[是]-> 行政处罚 | | | **1.0** |
| 143 | 金融 | 行驶主体 --[类型]-> 主体 | | | **0.6** |
| 144 | 金融 | 外汇管理局 --[类型]-> 行政机关 | | | **1.0** |
| 145 | 环境 | 环境执法处罚 --[涉及]-> 恶臭污染扰民 | | | **1.0** |
| 146 | 政务 | 《陕西省道路运输管理条例》 --[规定]-> 客运班车应当张贴票价表 | | | **1.0** |
| 147 | 金融 | 实施依据 --[是]-> 《期货交易管理条例》 | | | **1.0** |
| 148 | 环境 | 服务事项 --[包括]-> 环境执法处罚：土壤污染未修复 | | | **0.4** |
| 149 | 金融 | 金融监管处罚 --[包括]-> 资金池业务违规 | | | **0.6** |
| 150 | 环境 | 实施依据 --[是]-> 《中华人民共和国环境影响评价法》 | | | **1.0** |
| 151 | 政务 | 中华人民共和国水土保持法 --[实施依据]-> 水土保持设施验收备案 | | | **0.8** |
| 152 | 政务 | 《中华人民共和国药品管理法》 --[修订时间]-> 2019年 | | | **1.0** |
| 153 | 环境 | 环境执法处罚 --[实施依据]-> 《排污许可管理条例》 | | | **0.2** |
| 154 | 政务 | 综合监督处 --[承办机构]-> 服务事项 | | | **0.2** |
| 155 | 金融 | 金融监管处罚 --[是]-> 行政处罚 | | | **1.0** |
| 156 | 环境 | "行驶主体 --[是]-> ""生态环境综合执法支队""" | | | **0.8** |
| 157 | 政务 | 实施依据 --[来自]-> 《国务院关于第六批取消和调整行政审批项目的决定》 | | | **1.0** |
| 158 | 金融 | 实施依据 --[是]-> 《信托公司管理办法》 | | | **1.0** |
| 159 | 政务 | 施工 --[参与]-> 服务事项 | | | **0.4** |
| 160 | 政务 | 经营性人力资源服务机构 --[备案内容]-> 人力资源供求信息的收集和发布 | | | **1.0** |
| 161 | 政务 | 《中华人民共和国道路交通安全法》 --[规定]-> 公安机关交通管理部门 | | | **0.6** |
| 162 | 政务 | 有下列行为之一 --[类型]-> 行为 | | | **0.4** |
| 163 | 金融 | 承办机构 --[是]-> 中国人民银行 | | | **1.0** |
| 164 | 政务 | 工会组织 --[依法维护]-> 职工的年休假权利 | | | **1.0** |
| 165 | 环境 | 生态环境部 --[承办机构]-> 环境执法处罚 | | | **0.8** |
| 166 | 环境 | "行驶主体 --[是]-> ""市生态环境局""" | | | **0.8** |
| 167 | 金融 | 中国人民银行某分行 --[承办机构]-> 金融监管处罚 | | | **1.0** |
| 168 | 环境 | 镇环保所 --[是]-> 行驶主体 | | | **0.6** |
| 169 | 政务 | 市农业综合执法支队 --[承办机构]-> 服务事项 | | | **0.6** |
| 170 | 金融 | 证监会某监管局 --[承办机构]-> 行政处罚 | | | **1.0** |
| 171 | 金融 | 证监会某监管局 --[承办机构]-> 金融监管处罚 | | | **1.0** |
| 172 | 金融 | 行政处罚 --[执行主体]-> 中国人民银行某分行 | | | **1.0** |
| 173 | 政务 | 承办机构 --[是]-> 燃气热力管理处 | | | **1.0** |
| 174 | 环境 | 实施依据 --[是]-> 《中华人民共和国环境保护法》 | | | **1.0** |
| 175 | 金融 | 操纵市场价格 --[类型]-> 违法行为 | | | **1.0** |
| 176 | 金融 | 银保监会某监管局 --[承办机构]-> 行政处罚 | | | **1.0** |
| 177 | 环境 | 承办机构 --[类型]-> 组织机构 | | | **1.0** |
| 178 | 金融 | 承办机构 --[是]-> 中国人民银行 | | | **1.0** |
| 179 | 政务 | 服务事项 --[涉及]-> 施工单位 | | | **0.8** |
| 180 | 环境 | 水利局 --[执行]-> 环境执法处罚 | | | **0.4** |
