cohort,case_id,arm,gate_variant,added_occurrences,removed_occurrences,added_correct_occurrences,removed_correct_occurrences
controlled,government-3973dc6cd196,shacl_context,no_duplicate,0,0,0,0
controlled,government-3973dc6cd196,shacl_context,no_head,0,0,0,0
controlled,government-3973dc6cd196,shacl_context,no_relation,0,0,0,0
controlled,government-3973dc6cd196,shacl_context,no_support,0,0,0,0
controlled,government-3973dc6cd196,shacl_context,no_cardinality,0,0,0,0
controlled,government-3973dc6cd196,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,government-3973dc6cd196,shacl_context,raw,0,0,0,0
controlled,finance-40192c28bd08,diagnosis,full,0,0,0,0
controlled,finance-40192c28bd08,diagnosis,no_duplicate,0,0,0,0
controlled,finance-40192c28bd08,diagnosis,no_head,0,0,0,0
controlled,finance-40192c28bd08,diagnosis,no_relation,0,0,0,0
controlled,finance-40192c28bd08,diagnosis,no_support,0,0,0,0
controlled,finance-40192c28bd08,diagnosis,no_cardinality,0,0,0,0
controlled,finance-40192c28bd08,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,finance-40192c28bd08,diagnosis,raw,0,0,0,0
controlled,finance-0599b493f8df,base,full,0,0,0,0
controlled,finance-0599b493f8df,base,no_duplicate,0,0,0,0
controlled,finance-0599b493f8df,base,no_head,0,0,0,0
controlled,finance-0599b493f8df,base,no_relation,0,0,0,0
controlled,finance-0599b493f8df,base,no_support,0,0,0,0
controlled,finance-0599b493f8df,base,no_cardinality,0,0,0,0
controlled,finance-0599b493f8df,base,no_duplicate_cardinality,0,0,0,0
controlled,finance-0599b493f8df,base,raw,0,0,0,0
controlled,finance-2c5481123672,base,full,0,0,0,0
controlled,finance-2c5481123672,base,no_duplicate,0,0,0,0
controlled,finance-2c5481123672,base,no_head,0,0,0,0
controlled,finance-2c5481123672,base,no_relation,0,0,0,0
controlled,finance-2c5481123672,base,no_support,0,0,0,0
controlled,finance-2c5481123672,base,no_cardinality,0,0,0,0
controlled,finance-2c5481123672,base,no_duplicate_cardinality,0,0,0,0
controlled,finance-2c5481123672,base,raw,0,0,0,0
controlled,finance-48ea238a01c0,diagnosis,full,0,0,0,0
controlled,finance-48ea238a01c0,diagnosis,no_duplicate,0,0,0,0
controlled,finance-48ea238a01c0,diagnosis,no_head,0,0,0,0
controlled,finance-48ea238a01c0,diagnosis,no_relation,0,0,0,0
controlled,finance-48ea238a01c0,diagnosis,no_support,0,0,0,0
controlled,finance-48ea238a01c0,diagnosis,no_cardinality,0,0,0,0
controlled,finance-48ea238a01c0,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,finance-48ea238a01c0,diagnosis,raw,0,0,0,0
controlled,environment-29ecdbb5e2da,shacl_context,full,0,0,0,0
controlled,environment-29ecdbb5e2da,shacl_context,no_duplicate,0,0,0,0
controlled,environment-29ecdbb5e2da,shacl_context,no_head,0,0,0,0
controlled,environment-29ecdbb5e2da,shacl_context,no_relation,0,0,0,0
controlled,environment-29ecdbb5e2da,shacl_context,no_support,0,0,0,0
controlled,environment-29ecdbb5e2da,shacl_context,no_cardinality,0,0,0,0
controlled,environment-29ecdbb5e2da,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,environment-29ecdbb5e2da,shacl_context,raw,0,0,0,0
natural,finance-0940112f81b2,shacl_context,full,0,0,0,0
natural,finance-0940112f81b2,shacl_context,no_duplicate,0,0,0,0
natural,finance-0940112f81b2,shacl_context,no_head,0,0,0,0
natural,finance-0940112f81b2,shacl_context,no_relation,0,0,0,0
natural,finance-0940112f81b2,shacl_context,no_support,0,0,0,0
natural,finance-0940112f81b2,shacl_context,no_cardinality,0,0,0,0
natural,finance-0940112f81b2,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,finance-0940112f81b2,shacl_context,raw,0,0,0,0
natural,finance-3bcd31489d79,diagnosis,full,0,0,0,0
natural,finance-3bcd31489d79,diagnosis,no_duplicate,0,0,0,0
natural,finance-3bcd31489d79,diagnosis,no_head,0,0,0,0
natural,finance-3bcd31489d79,diagnosis,no_relation,0,0,0,0
natural,finance-3bcd31489d79,diagnosis,no_support,0,0,0,0
natural,finance-3bcd31489d79,diagnosis,no_cardinality,0,0,0,0
natural,finance-3bcd31489d79,diagnosis,no_duplicate_cardinality,0,0,0,0
natural,finance-3bcd31489d79,diagnosis,raw,0,0,0,0
controlled,government-2ae5e35394e4,diagnosis,full,0,0,0,0
controlled,government-2ae5e35394e4,diagnosis,no_duplicate,0,0,0,0
controlled,government-2ae5e35394e4,diagnosis,no_head,0,0,0,0
controlled,government-2ae5e35394e4,diagnosis,no_relation,0,0,0,0
controlled,government-2ae5e35394e4,diagnosis,no_support,0,0,0,0
controlled,government-2ae5e35394e4,diagnosis,no_cardinality,0,0,0,0
controlled,government-2ae5e35394e4,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,government-2ae5e35394e4,diagnosis,raw,0,0,0,0
controlled,environment-1c5e4f114bd3,diagnosis,full,0,0,0,0
controlled,environment-1c5e4f114bd3,diagnosis,no_duplicate,0,0,0,0
controlled,environment-1c5e4f114bd3,diagnosis,no_head,0,0,0,0
controlled,environment-1c5e4f114bd3,diagnosis,no_relation,0,0,0,0
controlled,environment-1c5e4f114bd3,diagnosis,no_support,0,0,0,0
controlled,environment-1c5e4f114bd3,diagnosis,no_cardinality,0,0,0,0
controlled,environment-1c5e4f114bd3,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,environment-1c5e4f114bd3,diagnosis,raw,0,0,0,0
natural,environment-3881a05cffa1,base,full,0,0,0,0
natural,environment-3881a05cffa1,base,no_duplicate,0,0,0,0
natural,environment-3881a05cffa1,base,no_head,0,0,0,0
natural,environment-3881a05cffa1,base,no_relation,0,0,0,0
natural,environment-3881a05cffa1,base,no_support,0,0,0,0
natural,environment-3881a05cffa1,base,no_cardinality,0,0,0,0
natural,environment-3881a05cffa1,base,no_duplicate_cardinality,0,0,0,0
natural,environment-3881a05cffa1,base,raw,0,0,0,0
controlled,finance-11d9ca639481,diagnosis,full,0,0,0,0
controlled,finance-11d9ca639481,diagnosis,no_duplicate,0,0,0,0
controlled,finance-11d9ca639481,diagnosis,no_head,0,0,0,0
controlled,finance-11d9ca639481,diagnosis,no_relation,0,0,0,0
controlled,finance-11d9ca639481,diagnosis,no_support,0,0,0,0
controlled,finance-11d9ca639481,diagnosis,no_cardinality,0,0,0,0
controlled,finance-11d9ca639481,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,finance-11d9ca639481,diagnosis,raw,0,0,0,0
natural,environment-2fdd1fa18a3a,shacl_context,full,0,0,0,0
natural,environment-2fdd1fa18a3a,shacl_context,no_duplicate,0,0,0,0
natural,environment-2fdd1fa18a3a,shacl_context,no_head,0,0,0,0
natural,environment-2fdd1fa18a3a,shacl_context,no_relation,0,0,0,0
natural,environment-2fdd1fa18a3a,shacl_context,no_support,0,0,0,0
natural,environment-2fdd1fa18a3a,shacl_context,no_cardinality,0,0,0,0
natural,environment-2fdd1fa18a3a,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,environment-2fdd1fa18a3a,shacl_context,raw,0,0,0,0
controlled,environment-269d6428ec21,base,full,0,0,0,0
controlled,environment-269d6428ec21,base,no_duplicate,0,0,0,0
controlled,environment-269d6428ec21,base,no_head,0,0,0,0
controlled,environment-269d6428ec21,base,no_relation,0,0,0,0
controlled,environment-269d6428ec21,base,no_support,0,0,0,0
controlled,environment-269d6428ec21,base,no_cardinality,0,0,0,0
controlled,environment-269d6428ec21,base,no_duplicate_cardinality,0,0,0,0
controlled,environment-269d6428ec21,base,raw,0,0,0,0
natural,finance-2c5481123672,base,full,0,0,0,0
natural,finance-2c5481123672,base,no_duplicate,0,0,0,0
natural,finance-2c5481123672,base,no_head,0,0,0,0
natural,finance-2c5481123672,base,no_relation,0,0,0,0
natural,finance-2c5481123672,base,no_support,0,0,0,0
natural,finance-2c5481123672,base,no_cardinality,0,0,0,0
natural,finance-2c5481123672,base,no_duplicate_cardinality,0,0,0,0
natural,finance-2c5481123672,base,raw,0,0,0,0
controlled,environment-5201f128f055,shacl_context,full,0,0,0,0
controlled,environment-5201f128f055,shacl_context,no_duplicate,0,0,0,0
controlled,environment-5201f128f055,shacl_context,no_head,0,0,0,0
controlled,environment-5201f128f055,shacl_context,no_relation,0,0,0,0
controlled,environment-5201f128f055,shacl_context,no_support,0,0,0,0
controlled,environment-5201f128f055,shacl_context,no_cardinality,0,0,0,0
controlled,environment-5201f128f055,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,environment-5201f128f055,shacl_context,raw,0,0,0,0
controlled,environment-47f0150f2fe7,diagnosis,full,0,0,0,0
controlled,environment-47f0150f2fe7,diagnosis,no_duplicate,0,0,0,0
controlled,environment-47f0150f2fe7,diagnosis,no_head,0,0,0,0
controlled,environment-47f0150f2fe7,diagnosis,no_relation,0,0,0,0
controlled,environment-47f0150f2fe7,diagnosis,no_support,0,0,0,0
controlled,environment-47f0150f2fe7,diagnosis,no_cardinality,0,0,0,0
controlled,environment-47f0150f2fe7,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,environment-47f0150f2fe7,diagnosis,raw,0,0,0,0
natural,finance-323400020ae8,base,full,0,0,0,0
natural,finance-323400020ae8,base,no_duplicate,0,0,0,0
natural,finance-323400020ae8,base,no_head,0,0,0,0
natural,finance-323400020ae8,base,no_relation,0,0,0,0
natural,finance-323400020ae8,base,no_support,0,0,0,0
natural,finance-323400020ae8,base,no_cardinality,0,0,0,0
natural,finance-323400020ae8,base,no_duplicate_cardinality,0,0,0,0
natural,finance-323400020ae8,base,raw,0,0,0,0
natural,finance-3bcd31489d79,base,full,0,0,0,0
natural,finance-3bcd31489d79,base,no_duplicate,0,0,0,0
natural,finance-3bcd31489d79,base,no_head,0,0,0,0
natural,finance-3bcd31489d79,base,no_relation,0,0,0,0
natural,finance-3bcd31489d79,base,no_support,0,0,0,0
natural,finance-3bcd31489d79,base,no_cardinality,0,0,0,0
natural,finance-3bcd31489d79,base,no_duplicate_cardinality,0,0,0,0
natural,finance-3bcd31489d79,base,raw,0,0,0,0
natural,government-2ff87373f537,shacl_context,full,0,0,0,0
natural,government-2ff87373f537,shacl_context,no_duplicate,0,0,0,0
natural,government-2ff87373f537,shacl_context,no_head,0,0,0,0
natural,government-2ff87373f537,shacl_context,no_relation,0,0,0,0
natural,government-2ff87373f537,shacl_context,no_support,0,0,0,0
natural,government-2ff87373f537,shacl_context,no_cardinality,0,0,0,0
natural,government-2ff87373f537,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,government-2ff87373f537,shacl_context,raw,0,0,0,0
controlled,environment-38fd486ef1b7,shacl_context,full,0,0,0,0
controlled,environment-38fd486ef1b7,shacl_context,no_duplicate,0,0,0,0
controlled,environment-38fd486ef1b7,shacl_context,no_head,0,0,0,0
controlled,environment-38fd486ef1b7,shacl_context,no_relation,0,0,0,0
controlled,environment-38fd486ef1b7,shacl_context,no_support,0,0,0,0
controlled,environment-38fd486ef1b7,shacl_context,no_cardinality,0,0,0,0
controlled,environment-38fd486ef1b7,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,environment-38fd486ef1b7,shacl_context,raw,0,0,0,0
controlled,environment-243394657c39,shacl_context,full,0,0,0,0
controlled,environment-243394657c39,shacl_context,no_duplicate,0,0,0,0
controlled,environment-243394657c39,shacl_context,no_head,0,0,0,0
controlled,environment-243394657c39,shacl_context,no_relation,0,0,0,0
controlled,environment-243394657c39,shacl_context,no_support,0,0,0,0
controlled,environment-243394657c39,shacl_context,no_cardinality,0,0,0,0
controlled,environment-243394657c39,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,environment-243394657c39,shacl_context,raw,0,0,0,0
controlled,government-1872a3147127,base,full,0,0,0,0
controlled,government-1872a3147127,base,no_duplicate,0,0,0,0
controlled,government-1872a3147127,base,no_head,0,0,0,0
controlled,government-1872a3147127,base,no_relation,0,0,0,0
controlled,government-1872a3147127,base,no_support,0,0,0,0
controlled,government-1872a3147127,base,no_cardinality,0,0,0,0
controlled,government-1872a3147127,base,no_duplicate_cardinality,0,0,0,0
controlled,government-1872a3147127,base,raw,0,0,0,0
controlled,government-10a48db0d2e7,base,full,0,0,0,0
controlled,government-10a48db0d2e7,base,no_duplicate,0,0,0,0
controlled,government-10a48db0d2e7,base,no_head,0,0,0,0
controlled,government-10a48db0d2e7,base,no_relation,0,0,0,0
controlled,government-10a48db0d2e7,base,no_support,0,0,0,0
controlled,government-10a48db0d2e7,base,no_cardinality,0,0,0,0
controlled,government-10a48db0d2e7,base,no_duplicate_cardinality,0,0,0,0
controlled,government-10a48db0d2e7,base,raw,0,0,0,0
natural,government-08f42137d50f,shacl_context,full,0,0,0,0
natural,government-08f42137d50f,shacl_context,no_duplicate,0,0,0,0
natural,government-08f42137d50f,shacl_context,no_head,0,0,0,0
natural,government-08f42137d50f,shacl_context,no_relation,0,0,0,0
natural,government-08f42137d50f,shacl_context,no_support,0,0,0,0
natural,government-08f42137d50f,shacl_context,no_cardinality,0,0,0,0
natural,government-08f42137d50f,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,government-08f42137d50f,shacl_context,raw,0,0,0,0
natural,finance-39b9d6db8c9e,diagnosis,full,0,0,0,0
natural,finance-39b9d6db8c9e,diagnosis,no_duplicate,0,0,0,0
natural,finance-39b9d6db8c9e,diagnosis,no_head,0,0,0,0
natural,finance-39b9d6db8c9e,diagnosis,no_relation,0,0,0,0
natural,finance-39b9d6db8c9e,diagnosis,no_support,0,0,0,0
natural,finance-39b9d6db8c9e,diagnosis,no_cardinality,0,0,0,0
natural,finance-39b9d6db8c9e,diagnosis,no_duplicate_cardinality,0,0,0,0
natural,finance-39b9d6db8c9e,diagnosis,raw,0,0,0,0
natural,finance-3e0d22d382e3,base,full,0,0,0,0
natural,finance-3e0d22d382e3,base,no_duplicate,0,0,0,0
natural,finance-3e0d22d382e3,base,no_head,0,0,0,0
natural,finance-3e0d22d382e3,base,no_relation,0,0,0,0
natural,finance-3e0d22d382e3,base,no_support,0,0,0,0
natural,finance-3e0d22d382e3,base,no_cardinality,0,0,0,0
natural,finance-3e0d22d382e3,base,no_duplicate_cardinality,0,0,0,0
natural,finance-3e0d22d382e3,base,raw,0,0,0,0
natural,government-3235e3648e32,shacl_context,full,0,0,0,0
natural,government-3235e3648e32,shacl_context,no_duplicate,0,0,0,0
natural,government-3235e3648e32,shacl_context,no_head,0,0,0,0
natural,government-3235e3648e32,shacl_context,no_relation,0,0,0,0
natural,government-3235e3648e32,shacl_context,no_support,1,0,0,0
natural,government-3235e3648e32,shacl_context,no_cardinality,0,0,0,0
natural,government-3235e3648e32,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,government-3235e3648e32,shacl_context,raw,1,0,0,0
natural,environment-3881a05cffa1,shacl_context,full,0,0,0,0
natural,environment-3881a05cffa1,shacl_context,no_duplicate,0,0,0,0
natural,environment-3881a05cffa1,shacl_context,no_head,0,0,0,0
natural,environment-3881a05cffa1,shacl_context,no_relation,0,0,0,0
natural,environment-3881a05cffa1,shacl_context,no_support,0,0,0,0
natural,environment-3881a05cffa1,shacl_context,no_cardinality,0,0,0,0
natural,environment-3881a05cffa1,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,environment-3881a05cffa1,shacl_context,raw,0,0,0,0
controlled,government-123148e99b2a,shacl_context,full,0,0,0,0
controlled,government-123148e99b2a,shacl_context,no_duplicate,0,0,0,0
controlled,government-123148e99b2a,shacl_context,no_head,0,0,0,0
controlled,government-123148e99b2a,shacl_context,no_relation,0,0,0,0
controlled,government-123148e99b2a,shacl_context,no_support,0,0,0,0
controlled,government-123148e99b2a,shacl_context,no_cardinality,0,0,0,0
controlled,government-123148e99b2a,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,government-123148e99b2a,shacl_context,raw,0,0,0,0
controlled,government-2259afc0e111,base,full,0,0,0,0
controlled,government-2259afc0e111,base,no_duplicate,0,0,0,0
controlled,government-2259afc0e111,base,no_head,0,0,0,0
controlled,government-2259afc0e111,base,no_relation,0,0,0,0
controlled,government-2259afc0e111,base,no_support,0,0,0,0
controlled,government-2259afc0e111,base,no_cardinality,0,0,0,0
controlled,government-2259afc0e111,base,no_duplicate_cardinality,0,0,0,0
controlled,government-2259afc0e111,base,raw,0,0,0,0
controlled,environment-131aae4a913e,base,full,0,0,0,0
controlled,environment-131aae4a913e,base,no_duplicate,0,0,0,0
controlled,environment-131aae4a913e,base,no_head,0,0,0,0
controlled,environment-131aae4a913e,base,no_relation,0,0,0,0
controlled,environment-131aae4a913e,base,no_support,0,0,0,0
controlled,environment-131aae4a913e,base,no_cardinality,0,0,0,0
controlled,environment-131aae4a913e,base,no_duplicate_cardinality,0,0,0,0
controlled,environment-131aae4a913e,base,raw,0,0,0,0
controlled,government-0aada7eebec8,diagnosis,full,0,0,0,0
controlled,government-0aada7eebec8,diagnosis,no_duplicate,0,0,0,0
controlled,government-0aada7eebec8,diagnosis,no_head,1,0,0,0
controlled,government-0aada7eebec8,diagnosis,no_relation,0,0,0,0
controlled,government-0aada7eebec8,diagnosis,no_support,0,0,0,0
controlled,government-0aada7eebec8,diagnosis,no_cardinality,0,0,0,0
controlled,government-0aada7eebec8,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,government-0aada7eebec8,diagnosis,raw,1,0,0,0
controlled,environment-0c6bdf88582b,diagnosis,full,0,0,0,0
controlled,environment-0c6bdf88582b,diagnosis,no_duplicate,0,0,0,0
controlled,environment-0c6bdf88582b,diagnosis,no_head,0,0,0,0
controlled,environment-0c6bdf88582b,diagnosis,no_relation,0,0,0,0
controlled,environment-0c6bdf88582b,diagnosis,no_support,0,0,0,0
controlled,environment-0c6bdf88582b,diagnosis,no_cardinality,0,0,0,0
controlled,environment-0c6bdf88582b,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,environment-0c6bdf88582b,diagnosis,raw,0,0,0,0
natural,government-27ceaef34223,diagnosis,full,0,0,0,0
natural,government-27ceaef34223,diagnosis,no_duplicate,0,0,0,0
natural,government-27ceaef34223,diagnosis,no_head,0,0,0,0
natural,government-27ceaef34223,diagnosis,no_relation,0,0,0,0
natural,government-27ceaef34223,diagnosis,no_support,1,0,0,0
natural,government-27ceaef34223,diagnosis,no_cardinality,0,0,0,0
natural,government-27ceaef34223,diagnosis,no_duplicate_cardinality,0,0,0,0
natural,government-27ceaef34223,diagnosis,raw,1,0,0,0
natural,environment-47f0150f2fe7,shacl_context,full,0,0,0,0
natural,environment-47f0150f2fe7,shacl_context,no_duplicate,0,0,0,0
natural,environment-47f0150f2fe7,shacl_context,no_head,0,0,0,0
natural,environment-47f0150f2fe7,shacl_context,no_relation,0,0,0,0
natural,environment-47f0150f2fe7,shacl_context,no_support,0,0,0,0
natural,environment-47f0150f2fe7,shacl_context,no_cardinality,0,0,0,0
natural,environment-47f0150f2fe7,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,environment-47f0150f2fe7,shacl_context,raw,0,0,0,0
controlled,government-2ae5e35394e4,base,full,0,0,0,0
controlled,government-2ae5e35394e4,base,no_duplicate,0,0,0,0
controlled,government-2ae5e35394e4,base,no_head,0,0,0,0
controlled,government-2ae5e35394e4,base,no_relation,0,0,0,0
controlled,government-2ae5e35394e4,base,no_support,0,0,0,0
controlled,government-2ae5e35394e4,base,no_cardinality,0,0,0,0
controlled,government-2ae5e35394e4,base,no_duplicate_cardinality,0,0,0,0
controlled,government-2ae5e35394e4,base,raw,0,0,0,0
natural,government-0aada7eebec8,diagnosis,full,0,0,0,0
natural,government-0aada7eebec8,diagnosis,no_duplicate,0,0,0,0
natural,government-0aada7eebec8,diagnosis,no_head,1,0,0,0
natural,government-0aada7eebec8,diagnosis,no_relation,0,0,0,0
natural,government-0aada7eebec8,diagnosis,no_support,0,0,0,0
natural,government-0aada7eebec8,diagnosis,no_cardinality,0,0,0,0
natural,government-0aada7eebec8,diagnosis,no_duplicate_cardinality,0,0,0,0
natural,government-0aada7eebec8,diagnosis,raw,1,0,0,0
controlled,finance-47fc6b850968,shacl_context,full,0,0,0,0
controlled,finance-47fc6b850968,shacl_context,no_duplicate,0,0,0,0
controlled,finance-47fc6b850968,shacl_context,no_head,0,0,0,0
controlled,finance-47fc6b850968,shacl_context,no_relation,0,0,0,0
controlled,finance-47fc6b850968,shacl_context,no_support,0,0,0,0
controlled,finance-47fc6b850968,shacl_context,no_cardinality,0,0,0,0
controlled,finance-47fc6b850968,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,finance-47fc6b850968,shacl_context,raw,0,0,0,0
controlled,finance-47fc6b850968,diagnosis,full,0,0,0,0
controlled,finance-47fc6b850968,diagnosis,no_duplicate,0,0,0,0
controlled,finance-47fc6b850968,diagnosis,no_head,0,0,0,0
controlled,finance-47fc6b850968,diagnosis,no_relation,0,0,0,0
controlled,finance-47fc6b850968,diagnosis,no_support,0,0,0,0
controlled,finance-47fc6b850968,diagnosis,no_cardinality,0,0,0,0
controlled,finance-47fc6b850968,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,finance-47fc6b850968,diagnosis,raw,0,0,0,0
natural,environment-38fd486ef1b7,shacl_context,full,0,0,0,0
natural,environment-38fd486ef1b7,shacl_context,no_duplicate,0,0,0,0
natural,environment-38fd486ef1b7,shacl_context,no_head,0,0,0,0
natural,environment-38fd486ef1b7,shacl_context,no_relation,0,0,0,0
natural,environment-38fd486ef1b7,shacl_context,no_support,0,0,0,0
natural,environment-38fd486ef1b7,shacl_context,no_cardinality,0,0,0,0
natural,environment-38fd486ef1b7,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,environment-38fd486ef1b7,shacl_context,raw,0,0,0,0
natural,finance-11d9ca639481,shacl_context,full,0,0,0,0
natural,finance-11d9ca639481,shacl_context,no_duplicate,0,0,0,0
natural,finance-11d9ca639481,shacl_context,no_head,0,0,0,0
natural,finance-11d9ca639481,shacl_context,no_relation,0,0,0,0
natural,finance-11d9ca639481,shacl_context,no_support,0,0,0,0
natural,finance-11d9ca639481,shacl_context,no_cardinality,0,0,0,0
natural,finance-11d9ca639481,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,finance-11d9ca639481,shacl_context,raw,0,0,0,0
controlled,environment-1c5352baae54,shacl_context,full,0,0,0,0
controlled,environment-1c5352baae54,shacl_context,no_duplicate,0,0,0,0
controlled,environment-1c5352baae54,shacl_context,no_head,0,0,0,0
controlled,environment-1c5352baae54,shacl_context,no_relation,0,0,0,0
controlled,environment-1c5352baae54,shacl_context,no_support,0,0,0,0
controlled,environment-1c5352baae54,shacl_context,no_cardinality,0,0,0,0
controlled,environment-1c5352baae54,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,environment-1c5352baae54,shacl_context,raw,0,0,0,0
controlled,environment-2fdd1fa18a3a,shacl_context,full,0,0,0,0
controlled,environment-2fdd1fa18a3a,shacl_context,no_duplicate,0,0,0,0
controlled,environment-2fdd1fa18a3a,shacl_context,no_head,0,0,0,0
controlled,environment-2fdd1fa18a3a,shacl_context,no_relation,0,0,0,0
controlled,environment-2fdd1fa18a3a,shacl_context,no_support,0,0,0,0
controlled,environment-2fdd1fa18a3a,shacl_context,no_cardinality,0,0,0,0
controlled,environment-2fdd1fa18a3a,shacl_context,no_duplicate_cardinality,0,0,0,0
controlled,environment-2fdd1fa18a3a,shacl_context,raw,0,0,0,0
natural,environment-1c5e4f114bd3,shacl_context,full,0,0,0,0
natural,environment-1c5e4f114bd3,shacl_context,no_duplicate,0,0,0,0
natural,environment-1c5e4f114bd3,shacl_context,no_head,0,0,0,0
natural,environment-1c5e4f114bd3,shacl_context,no_relation,0,0,0,0
natural,environment-1c5e4f114bd3,shacl_context,no_support,0,0,0,0
natural,environment-1c5e4f114bd3,shacl_context,no_cardinality,0,0,0,0
natural,environment-1c5e4f114bd3,shacl_context,no_duplicate_cardinality,0,0,0,0
natural,environment-1c5e4f114bd3,shacl_context,raw,0,0,0,0
natural,government-1e0b7611abe9,diagnosis,full,0,0,0,0
natural,government-1e0b7611abe9,diagnosis,no_duplicate,0,0,0,0
natural,government-1e0b7611abe9,diagnosis,no_head,0,0,0,0
natural,government-1e0b7611abe9,diagnosis,no_relation,0,0,0,0
natural,government-1e0b7611abe9,diagnosis,no_support,0,0,0,0
natural,government-1e0b7611abe9,diagnosis,no_cardinality,0,0,0,0
natural,government-1e0b7611abe9,diagnosis,no_duplicate_cardinality,0,0,0,0
natural,government-1e0b7611abe9,diagnosis,raw,0,0,0,0
controlled,finance-396b0d02c4c1,diagnosis,full,0,0,0,0
controlled,finance-396b0d02c4c1,diagnosis,no_duplicate,0,0,0,0
controlled,finance-396b0d02c4c1,diagnosis,no_head,0,0,0,0
controlled,finance-396b0d02c4c1,diagnosis,no_relation,0,0,0,0
controlled,finance-396b0d02c4c1,diagnosis,no_support,0,0,0,0
controlled,finance-396b0d02c4c1,diagnosis,no_cardinality,0,0,0,0
controlled,finance-396b0d02c4c1,diagnosis,no_duplicate_cardinality,0,0,0,0
controlled,finance-396b0d02c4c1,diagnosis,raw,0,0,0,0
controlled,government-1e0b7611abe9,base,full,0,0,0,0
controlled,government-1e0b7611abe9,base,no_duplicate,0,0,0,0
controlled,government-1e0b7611abe9,base,no_head,0,0,0,0
controlled,government-1e0b7611abe9,base,no_relation,0,0,0,0
controlled,government-1e0b7611abe9,base,no_support,0,0,0,0
controlled,government-1e0b7611abe9,base,no_cardinality,0,0,0,0
