policy,run_seed,scenario_seed,final_joint,q_graph,q_rule,rule_precision,rule_recall,rule_coverage,auc,convergence_step,steps,calls,edits,total_reward,initial_defects,final_defects,action_distribution
Rule Only,1,900001,0.9398976527072572,0.9535490214824677,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9250715358777596,19,18,18,24,0.2898276923076922,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,1,900001,0.9635839491032212,0.99265256524086,0.890912408759124,0.7883211678832117,0.9,1.0,0.9271750950238871,19,18,12,200,0.343468507262042,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 4, ""duplicate"": 17, ""invalid_relation"": 10, ""isolated"": 2}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,1,900001,0.9751235545886104,0.9962461471557618,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9380439336315083,19,18,8,219,0.3752439549415869,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 4, ""duplicate"": 6, ""invalid_relation"": 4, ""isolated"": 2}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,1,900001,0.9356528464186554,0.9535490214824677,0.890912408759124,0.7883211678832117,0.9,1.0,0.8229835995975482,19,18,12,13,0.3081049635036497,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,1,900001,0.982445114974318,0.9990783333778381,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9577473229715632,13,17,4,226,0.40135413948157733,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 1, ""duplicate"": 2, ""invalid_relation"": 1, ""isolated"": 0}","{""dangling_edge_cleanup"": 3, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
DQN,1,900001,0.9823112642295256,0.9988909423351289,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9560103868981433,14,18,4,226,0.40116674843886807,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 0, ""duplicate"": 0, ""invalid_relation"": 4, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Double DQN,1,900001,0.9825109483044724,0.9991705000400544,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9528068463307755,15,18,4,226,0.40144630614379356,"{""dangling"": 31, ""duplicate"": 90, ""invalid_relation"": 65, ""isolated"": 35}","{""dangling"": 0, ""duplicate"": 3, ""invalid_relation"": 1, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
Random,2,900002,0.9737307370942215,0.9868782043457032,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9199364878810606,19,18,9,232,0.3788898590002389,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 7, ""duplicate"": 20, ""invalid_relation"": 10, ""isolated"": 22}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 1, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 3}"
Enhancement Only,2,900002,0.6740665520940509,0.9436931729316711,0.0,0.0,0.0,0.0,0.6740665520940508,19,18,0,0,0.0,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,2,900002,0.9328577608852597,0.9436931729316711,0.9057692307692309,0.8307692307692308,0.9,1.0,0.918031644055762,19,18,18,24,0.2898276923076923,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,2,900002,0.9623583285950271,0.9909366965293883,0.890912408759124,0.7883211678832117,0.9,1.0,0.9237665563436591,19,18,12,247,0.3506684871013667,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 7, ""duplicate"": 21, ""invalid_relation"": 10, ""isolated"": 3}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,2,900002,0.9741251214414525,0.9948483407497406,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9335657333075102,19,18,8,268,0.3827219970863623,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 7, ""duplicate"": 8, ""invalid_relation"": 4, ""isolated"": 3}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,2,900002,0.9286129545966577,0.9436931729316711,0.890912408759124,0.7883211678832117,0.9,1.0,0.8159437077755506,19,18,12,13,0.3081049635036496,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,2,900002,0.9823474953385998,0.9989416658878327,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9560542742474915,14,18,4,280,0.40999332054236853,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 0, ""duplicate"": 3, ""invalid_relation"": 1, ""isolated"": 1}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
DQN,2,900002,0.9773993008007559,0.9920141935348512,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9439484847554369,19,18,5,240,0.39986584818938703,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 0, ""duplicate"": 45, ""invalid_relation"": 0, ""isolated"": 0}","{""augmentation_rule_generation"": 1, ""dangling_edge_cleanup"": 4, ""exact_deduplication"": 1, ""isolation_cleanup"": 5, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Double DQN,2,900002,0.9812131848887271,0.9973536312580108,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9545604439545473,17,18,4,274,0.40852528591254667,"{""dangling"": 49, ""duplicate"": 107, ""invalid_relation"": 64, ""isolated"": 55}","{""dangling"": 2, ""duplicate"": 0, ""invalid_relation"": 1, ""isolated"": 8}","{""dangling_edge_cleanup"": 3, ""exact_deduplication"": 7, ""isolation_cleanup"": 2, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
Random,3,900003,0.9619477520171774,0.9778000235557557,0.9223170731707317,0.8780487804878049,0.9,1.0,0.8405007408441976,19,18,6,161,0.3724028100555699,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 44, ""duplicate"": 3, ""invalid_relation"": 30, ""isolated"": 9}","{""dangling_edge_cleanup"": 3, ""exact_deduplication"": 7, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 3, ""relation_repair"": 1}"
Enhancement Only,3,900003,0.6765028876917704,0.9471040427684785,0.0,0.0,0.0,0.0,0.6765028876917704,19,18,0,0,0.0,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,3,900003,0.9352940964829793,0.9471040427684785,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9204679796534817,19,18,18,24,0.2898276923076923,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,3,900003,0.9632779516293682,0.9922241687774658,0.890912408759124,0.7883211678832117,0.9,1.0,0.9250039479413539,19,18,12,218,0.3491250895126369,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 6, ""duplicate"": 12, ""invalid_relation"": 12, ""isolated"": 3}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,3,900003,0.9748300272579393,0.9958352088928223,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9351730127633614,19,18,8,236,0.3809379953926365,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 6, ""duplicate"": 4, ""invalid_relation"": 4, ""isolated"": 3}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,3,900003,0.9310492901943773,0.9471040427684785,0.890912408759124,0.7883211678832117,0.9,1.0,0.8183800433732702,19,18,12,13,0.3081049635036496,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,3,900003,0.9826102326127697,0.9993094980716706,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9574176856749816,13,18,4,245,0.407650282889399,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 0, ""duplicate"": 1, ""invalid_relation"": 1, ""isolated"": 1}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
DQN,3,900003,0.9817952285024335,0.9981684923171998,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9519536258272938,18,18,4,238,0.4066492771349282,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 0, ""duplicate"": 10, ""invalid_relation"": 0, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 2, ""isolation_cleanup"": 5, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Double DQN,3,900003,0.9816457230234382,0.9979591846466065,0.9408620689655172,0.9310344827586207,0.9,1.0,0.953019332040609,15,18,4,239,0.40641996946433484,"{""dangling"": 44, ""duplicate"": 61, ""invalid_relation"": 76, ""isolated"": 58}","{""dangling"": 0, ""duplicate"": 0, ""invalid_relation"": 0, ""isolated"": 9}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 2, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Random,4,900004,0.9475207659176419,0.9624040722846985,0.9103125000000001,0.84375,0.9,1.0,0.8659942488475911,19,18,10,74,0.3363976333332062,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 12, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 8}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""isolation_cleanup"": 5, ""low_precision_rule_pruning"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 1}"
Enhancement Only,4,900004,0.6776081706796374,0.9486514389514923,0.0,0.0,0.0,0.0,0.6776081706796373,19,18,0,0,0.0,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,4,900004,0.9363993794708462,0.9486514389514923,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9215732626413485,19,18,18,24,0.2898276923076922,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,4,900004,0.9634256902563934,0.9924310028553008,0.890912408759124,0.7883211678832117,0.9,1.0,0.9261254882143467,19,18,12,224,0.3476645274074583,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 4, ""duplicate"": 17, ""invalid_relation"": 10, ""isolated"": 3}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,4,900004,0.9748323007493901,0.9958383917808533,0.9223170731707317,0.8780487804878049,0.9,1.0,0.936183734164924,19,18,8,243,0.37925378209765387,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 4, ""duplicate"": 7, ""invalid_relation"": 4, ""isolated"": 3}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,4,900004,0.9321545731822443,0.9486514389514923,0.890912408759124,0.7883211678832117,0.9,1.0,0.8194853263611371,19,18,12,13,0.30810496350364946,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,4,900004,0.9825442800733256,0.9992171645164489,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9577632106076387,13,18,4,253,0.4058505531511636,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 1, ""duplicate"": 0, ""invalid_relation"": 1, ""isolated"": 1}","{""dangling_edge_cleanup"": 3, ""exact_deduplication"": 5, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
DQN,4,900004,0.9821195884643518,0.9986225962638855,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9560078311124721,17,18,4,249,0.40533598489860007,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 1, ""duplicate"": 6, ""invalid_relation"": 0, ""isolated"": 0}","{""dangling_edge_cleanup"": 3, ""exact_deduplication"": 3, ""isolation_cleanup"": 5, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Double DQN,4,900004,0.9806355860785312,0.9965449929237367,0.9408620689655172,0.9310344827586207,0.9,1.0,0.951668113429134,18,18,4,242,0.40339838155845126,"{""dangling"": 31, ""duplicate"": 102, ""invalid_relation"": 63, ""isolated"": 53}","{""dangling"": 0, ""duplicate"": 0, ""invalid_relation"": 10, ""isolated"": 3}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 7, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 2, ""relation_repair"": 2}"
Random,5,900005,0.9613946894367974,0.9836448729038239,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9093889607601169,19,18,10,184,0.353276784266692,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 2, ""duplicate"": 43, ""invalid_relation"": 24, ""isolated"": 8}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 3, ""deletion_rule_generation"": 3, ""exact_deduplication"": 1, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Enhancement Only,5,900005,0.6778541292463031,0.9489957809448242,0.0,0.0,0.0,0.0,0.677854129246303,19,18,0,0,0.0,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,5,900005,0.9366453380375119,0.9489957809448242,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9218192212080142,19,18,18,24,0.2898276923076923,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,5,900005,0.9633008653578099,0.992256247997284,0.890912408759124,0.7883211678832117,0.9,1.0,0.9260473803483169,19,18,12,224,0.3471454305561094,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 5, ""duplicate"": 18, ""invalid_relation"": 9, ""isolated"": 3}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,5,900005,0.9748345784983155,0.9958415806293488,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9362247017145207,19,18,8,243,0.37891262895281735,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 5, ""duplicate"": 7, ""invalid_relation"": 3, ""isolated"": 3}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,5,900005,0.9324005317489099,0.9489957809448242,0.890912408759124,0.7883211678832117,0.9,1.0,0.8197312849278028,19,18,12,13,0.3081049635036496,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,5,900005,0.9824787447663951,0.9991254150867461,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9577284305878331,13,18,4,252,0.4054344617281288,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 0, ""duplicate"": 2, ""invalid_relation"": 1, ""isolated"": 1}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
