seed,budget_calls,strategy,documents,unique_candidates,declarations,constraint_candidates
6,2000,deletion,2000,15846,4429,11417
6,2000,augmentation,2000,19702,4698,15004
6,2000,dual,1000,18616,4935,13681
6,4000,deletion,4000,28570,7252,21318
6,4000,augmentation,4000,36121,7629,28492
6,4000,dual,2000,34093,8075,26018
7,100,deletion,100,1140,471,669
7,100,augmentation,100,1349,479,870
7,100,dual,50,1265,501,764
7,500,deletion,500,4748,1566,3182
7,500,augmentation,500,5838,1774,4064
7,500,dual,250,5481,1782,3699
7,1000,deletion,1000,8685,2620,6065
7,1000,augmentation,1000,10737,2893,7844
7,1000,dual,500,10154,2990,7164
7,2000,deletion,2000,15888,4449,11439
7,2000,augmentation,2000,19753,4748,15005
7,2000,dual,1000,18628,4910,13718
7,4000,deletion,4000,28652,7268,21384
7,4000,augmentation,4000,36091,7646,28445
7,4000,dual,2000,34186,8150,26036
8,100,deletion,100,1157,474,683
8,100,augmentation,100,1366,523,843
8,100,dual,50,1288,522,766
8,500,deletion,500,4754,1607,3147
8,500,augmentation,500,5781,1780,4001
8,500,dual,250,5456,1822,3634
8,1000,deletion,1000,8756,2668,6088
8,1000,augmentation,1000,10714,2916,7798
8,1000,dual,500,10061,3015,7046
8,2000,deletion,2000,15752,4380,11372
8,2000,augmentation,2000,19614,4740,14874
8,2000,dual,1000,18624,4947,13677
8,4000,deletion,4000,28493,7232,21261
8,4000,augmentation,4000,36025,7620,28405
8,4000,dual,2000,33891,8057,25834
9,100,deletion,100,1187,468,719
9,100,augmentation,100,1352,489,863
9,100,dual,50,1285,509,776
9,500,deletion,500,4699,1509,3190
9,500,augmentation,500,5760,1741,4019
9,500,dual,250,5426,1715,3711
9,1000,deletion,1000,8711,2592,6119
9,1000,augmentation,1000,10648,2895,7753
9,1000,dual,500,10050,2920,7130
9,2000,deletion,2000,15730,4380,11350
9,2000,augmentation,2000,19585,4732,14853
9,2000,dual,1000,18550,4883,13667
9,4000,deletion,4000,28684,7278,21406
9,4000,augmentation,4000,36014,7618,28396
9,4000,dual,2000,33840,8039,25801
10,100,deletion,100,1137,454,683
10,100,augmentation,100,1340,492,848
10,100,dual,50,1288,505,783
10,500,deletion,500,4803,1672,3131
10,500,augmentation,500,5768,1714,4054
10,500,dual,250,5519,1819,3700
10,1000,deletion,1000,8826,2737,6089
10,1000,augmentation,1000,10725,2864,7861
10,1000,dual,500,10127,3027,7100
10,2000,deletion,2000,15712,4386,11326
10,2000,augmentation,2000,19645,4658,14987
10,2000,dual,1000,18730,4974,13756
10,4000,deletion,4000,28530,7233,21297
10,4000,augmentation,4000,35966,7607,28359
10,4000,dual,2000,33929,8015,25914
11,100,deletion,100,1106,426,680
11,100,augmentation,100,1432,542,890
11,100,dual,50,1303,522,781
11,500,deletion,500,4716,1518,3198
11,500,augmentation,500,5854,1802,4052
11,500,dual,250,5557,1809,3748
11,1000,deletion,1000,8655,2614,6041
11,1000,augmentation,1000,10635,2901,7734
11,1000,dual,500,10142,2985,7157
11,2000,deletion,2000,15773,4431,11342
11,2000,augmentation,2000,19641,4778,14863
11,2000,dual,1000,18505,4921,13584
11,4000,deletion,4000,28705,7383,21322
11,4000,augmentation,4000,35972,7632,28340
11,4000,dual,2000,33956,8171,25785
12,100,deletion,100,1163,451,712
12,100,augmentation,100,1377,509,868
12,100,dual,50,1346,514,832
12,500,deletion,500,4771,1497,3274
12,500,augmentation,500,5779,1742,4037
12,500,dual,250,5468,1712,3756
12,1000,deletion,1000,8810,2626,6184
12,1000,augmentation,1000,10692,2883,7809
12,1000,dual,500,10156,2927,7229
12,2000,deletion,2000,15925,4447,11478
12,2000,augmentation,2000,19769,4783,14986
12,2000,dual,1000,18684,4899,13785
12,4000,deletion,4000,28627,7285,21342
12,4000,augmentation,4000,36049,7670,28379
12,4000,dual,2000,34204,8148,26056
13,100,deletion,100,1182,468,714
13,100,augmentation,100,1342,470,872
13,100,dual,50,1302,484,818
13,500,deletion,500,4725,1565,3160
13,500,augmentation,500,5662,1633,4029
13,500,dual,250,5411,1688,3723
13,1000,deletion,1000,8743,2650,6093
13,1000,augmentation,1000,10532,2779,7753
13,1000,dual,500,9934,2845,7089
13,2000,deletion,2000,15754,4357,11397
13,2000,augmentation,2000,19542,4644,14898
13,2000,dual,1000,18471,4826,13645
13,4000,deletion,4000,28453,7220,21233
13,4000,augmentation,4000,36037,7603,28434
13,4000,dual,2000,33827,7948,25879
14,100,deletion,100,1188,473,715
14,100,augmentation,100,1320,489,831
14,100,dual,50,1317,517,800
14,500,deletion,500,4762,1546,3216
14,500,augmentation,500,5747,1710,4037
14,500,dual,250,5461,1794,3667
14,1000,deletion,1000,8676,2672,6004
14,1000,augmentation,1000,10614,2885,7729
14,1000,dual,500,10092,2921,7171
14,2000,deletion,2000,15799,4462,11337
14,2000,augmentation,2000,19598,4700,14898
14,2000,dual,1000,18517,4963,13554
14,4000,deletion,4000,28649,7313,21336
14,4000,augmentation,4000,35916,7589,28327
14,4000,dual,2000,33975,8115,25860
15,100,deletion,100,1145,459,686
15,100,augmentation,100,1366,503,863
15,100,dual,50,1341,525,816
15,500,deletion,500,4722,1511,3211
15,500,augmentation,500,5777,1724,4053
15,500,dual,250,5471,1770,3701
15,1000,deletion,1000,8715,2617,6098
15,1000,augmentation,1000,10695,2873,7822
15,1000,dual,500,10064,2897,7167
15,2000,deletion,2000,15872,4439,11433
15,2000,augmentation,2000,19711,4729,14982
15,2000,dual,1000,18630,4902,13728
15,4000,deletion,4000,28488,7228,21260
15,4000,augmentation,4000,36088,7613,28475
15,4000,dual,2000,34170,8140,26030
16,100,deletion,100,1151,459,692
16,100,augmentation,100,1349,496,853
16,100,dual,50,1294,504,790
16,500,deletion,500,4792,1584,3208
16,500,augmentation,500,5855,1755,4100
16,500,dual,250,5533,1778,3755
16,1000,deletion,1000,8678,2620,6058
16,1000,augmentation,1000,10678,2885,7793
16,1000,dual,500,10208,3004,7204
16,2000,deletion,2000,15766,4392,11374
16,2000,augmentation,2000,19593,4714,14879
16,2000,dual,1000,18572,4928,13644
16,4000,deletion,4000,28538,7269,21269
16,4000,augmentation,4000,36121,7656,28465
16,4000,dual,2000,33923,8080,25843
17,100,deletion,100,1217,467,750
17,100,augmentation,100,1339,487,852
17,100,dual,50,1335,512,823
17,500,deletion,500,4753,1565,3188
17,500,augmentation,500,5790,1762,4028
17,500,dual,250,5447,1749,3698
17,1000,deletion,1000,8617,2635,5982
17,1000,augmentation,1000,10620,2807,7813
17,1000,dual,500,10108,2983,7125
17,2000,deletion,2000,15575,4314,11261
17,2000,augmentation,2000,19504,4624,14880
17,2000,dual,1000,18427,4820,13607
17,4000,deletion,4000,28501,7200,21301
17,4000,augmentation,4000,36031,7649,28382
17,4000,dual,2000,33659,7911,25748
18,100,deletion,100,1184,475,709
18,100,augmentation,100,1362,493,869
18,100,dual,50,1280,469,811
18,500,deletion,500,4608,1516,3092
18,500,augmentation,500,5794,1767,4027
18,500,dual,250,5459,1780,3679
18,1000,deletion,1000,8677,2626,6051
18,1000,augmentation,1000,10681,2918,7763
18,1000,dual,500,9955,2925,7030
18,2000,deletion,2000,15838,4395,11443
18,2000,augmentation,2000,19707,4752,14955
18,2000,dual,1000,18560,4924,13636
18,4000,deletion,4000,28524,7222,21302
18,4000,augmentation,4000,35927,7567,28360
18,4000,dual,2000,34112,8093,26019
19,100,deletion,100,1171,470,701
19,100,augmentation,100,1359,504,855
19,100,dual,50,1337,522,815
19,500,deletion,500,4761,1565,3196
19,500,augmentation,500,5834,1772,4062
19,500,dual,250,5562,1828,3734
19,1000,deletion,1000,8626,2575,6051
19,1000,augmentation,1000,10794,2918,7876
19,1000,dual,500,10148,2976,7172
19,2000,deletion,2000,15798,4406,11392
19,2000,augmentation,2000,19860,4779,15081
19,2000,dual,1000,18617,4894,13723
19,4000,deletion,4000,28572,7219,21353
19,4000,augmentation,4000,36097,7662,28435
19,4000,dual,2000,34173,8111,26062
20,100,deletion,100,1133,449,684
20,100,augmentation,100,1412,531,881
20,100,dual,50,1334,537,797
20,500,deletion,500,4805,1576,3229
20,500,augmentation,500,5867,1820,4047
20,500,dual,250,5499,1760,3739
20,1000,deletion,1000,8743,2644,6099
20,1000,augmentation,1000,10731,2947,7784
20,1000,dual,500,10222,3023,7199
20,2000,deletion,2000,15865,4458,11407
20,2000,augmentation,2000,19690,4744,14946
20,2000,dual,1000,18663,4978,13685
20,4000,deletion,4000,28641,7280,21361
20,4000,augmentation,4000,35924,7582,28342
20,4000,dual,2000,34112,8150,25962
21,100,deletion,100,1172,466,706
21,100,augmentation,100,1347,479,868
21,100,dual,50,1286,500,786
21,500,deletion,500,4694,1550,3144
21,500,augmentation,500,5771,1735,4036
21,500,dual,250,5410,1728,3682
21,1000,deletion,1000,8666,2630,6036
21,1000,augmentation,1000,10691,2890,7801
21,1000,dual,500,10035,2947,7088
21,2000,deletion,2000,15819,4429,11390
21,2000,augmentation,2000,19713,4761,14952
21,2000,dual,1000,18553,4925,13628
21,4000,deletion,4000,28544,7300,21244
21,4000,augmentation,4000,36108,7634,28474
21,4000,dual,2000,34082,8140,25942
22,100,deletion,100,1208,494,714
22,100,augmentation,100,1398,532,866
22,100,dual,50,1323,530,793
22,500,deletion,500,4979,1686,3293
22,500,augmentation,500,5746,1766,3980
22,500,dual,250,5591,1857,3734
22,1000,deletion,1000,8683,2629,6054
22,1000,augmentation,1000,10777,2962,7815
22,1000,dual,500,10258,3088,7170
22,2000,deletion,2000,15817,4395,11422
22,2000,augmentation,2000,19727,4816,14911
22,2000,dual,1000,18635,4979,13656
22,4000,deletion,4000,28436,7258,21178
22,4000,augmentation,4000,35980,7601,28379
22,4000,dual,2000,34077,8160,25917
23,100,deletion,100,1186,456,730
23,100,augmentation,100,1377,511,866
23,100,dual,50,1364,544,820
23,500,deletion,500,4774,1562,3212
23,500,augmentation,500,5825,1753,4072
23,500,dual,250,5505,1774,3731
23,1000,deletion,1000,8567,2575,5992
23,1000,augmentation,1000,10707,2902,7805
23,1000,dual,500,10131,2940,7191
23,2000,deletion,2000,15529,4223,11306
23,2000,augmentation,2000,19746,4778,14968
23,2000,dual,1000,18452,4859,13593
23,4000,deletion,4000,28438,7227,21211
23,4000,augmentation,4000,36040,7678,28362
23,4000,dual,2000,33830,7970,25860
24,100,deletion,100,1170,466,704
24,100,augmentation,100,1329,503,826
24,100,dual,50,1301,510,791
24,500,deletion,500,4725,1567,3158
24,500,augmentation,500,5635,1661,3974
24,500,dual,250,5404,1713,3691
24,1000,deletion,1000,8552,2577,5975
24,1000,augmentation,1000,10643,2846,7797
24,1000,dual,500,9914,2864,7050
24,2000,deletion,2000,15671,4404,11267
24,2000,augmentation,2000,19755,4765,14990
24,2000,dual,1000,18380,4796,13584
24,4000,deletion,4000,28515,7223,21292
24,4000,augmentation,4000,36109,7670,28439
24,4000,dual,2000,33995,8126,25869
25,100,deletion,100,1128,447,681
25,100,augmentation,100,1333,478,855
25,100,dual,50,1283,493,790
25,500,deletion,500,4741,1615,3126
25,500,augmentation,500,5919,1808,4111
25,500,dual,250,5422,1748,3674
25,1000,deletion,1000,8658,2675,5983
25,1000,augmentation,1000,10850,2958,7892
25,1000,dual,500,10199,3062,7137
25,2000,deletion,2000,15902,4564,11338
25,2000,augmentation,2000,19754,4736,15018
25,2000,dual,1000,18708,5019,13689
25,4000,deletion,4000,28520,7243,21277
25,4000,augmentation,4000,36149,7676,28473
25,4000,dual,2000,34215,8246,25969
26,100,deletion,100,1178,503,675
26,100,augmentation,100,1372,508,864
26,100,dual,50,1290,528,762
26,500,deletion,500,4684,1563,3121
26,500,augmentation,500,5739,1724,4015
26,500,dual,250,5440,1783,3657
26,1000,deletion,1000,8483,2580,5903
26,1000,augmentation,1000,10633,2866,7767
26,1000,dual,500,9966,2926,7040
26,2000,deletion,2000,15777,4428,11349
26,2000,augmentation,2000,19610,4706,14904
26,2000,dual,1000,18280,4812,13468
26,4000,deletion,4000,28650,7284,21366
26,4000,augmentation,4000,35960,7631,28329
26,4000,dual,2000,33918,8063,25855
27,100,deletion,100,1203,471,732
27,100,augmentation,100,1426,541,885
27,100,dual,50,1347,522,825
27,500,deletion,500,4846,1610,3236
27,500,augmentation,500,5816,1789,4027
27,500,dual,250,5636,1866,3770
27,1000,deletion,1000,8821,2726,6095
27,1000,augmentation,1000,10719,2929,7790
27,1000,dual,500,10184,3026,7158
27,2000,deletion,2000,15859,4451,11408
27,2000,augmentation,2000,19641,4732,14909
27,2000,dual,1000,18709,5027,13682
27,4000,deletion,4000,28541,7274,21267
27,4000,augmentation,4000,36101,7667,28434
27,4000,dual,2000,34007,8113,25894
28,100,deletion,100,1185,493,692
28,100,augmentation,100,1345,500,845
28,100,dual,50,1313,511,802
28,500,deletion,500,4792,1564,3228
28,500,augmentation,500,5740,1748,3992
28,500,dual,250,5520,1785,3735
28,1000,deletion,1000,8648,2596,6052
28,1000,augmentation,1000,10617,2876,7741
28,1000,dual,500,10054,2944,7110
28,2000,deletion,2000,15617,4254,11363
28,2000,augmentation,2000,19632,4761,14871
28,2000,dual,1000,18450,4862,13588
28,4000,deletion,4000,28396,7160,21236
28,4000,augmentation,4000,35985,7609,28376
28,4000,dual,2000,33770,7950,25820
29,100,deletion,100,1226,500,726
29,100,augmentation,100,1373,516,857
29,100,dual,50,1318,506,812
29,500,deletion,500,4742,1568,3174
29,500,augmentation,500,5733,1726,4007
29,500,dual,250,5481,1788,3693
29,1000,deletion,1000,8709,2646,6063
29,1000,augmentation,1000,10669,2909,7760
29,1000,dual,500,10012,2934,7078
29,2000,deletion,2000,15805,4429,11376
29,2000,augmentation,2000,19738,4768,14970
29,2000,dual,1000,18581,4964,13617
29,4000,deletion,4000,28576,7237,21339
29,4000,augmentation,4000,36112,7590,28522
29,4000,dual,2000,34110,8159,25951
